run_time,version,experiment,model,code_hash,model_hash,train_data_hash,eval_type,eval_hash,input_unit,feature_count,train_row_count,eval_row_count,accuracy,precision,recall,f1_score,tn,fp,fn,tp,note,
2026-08-18 16:24:25,v1,LogisticRegression_peak200_test,LogisticRegression,6041ae0a3a7fea1b4eaa9be42c43c1c65d969357c48333e0774c1a559284a3d0,3b4e0b1360d715f80a8685d16a48ac22a12c94536b40b792a276d0271fbd856f,193a33139ee24558d73b3cb76dd1281d63b894bc7d8637cb59380ea05797b29e,test,91bcdf5c370ae3bc6c7497e5365fe3ffe031a2658712c10839e468ac7586a296,128_row_window_peak200,171,11564,2780,0.7428057553956835,0.7301414581066377,0.8597053171044202,0.7896440129449838,723,496,219,1342,모델과 스케일러를 합치고 실행  ,
2026-08-18 17:10:54,v1,LogisticRegression_peak200_test,LogisticRegression,6041ae0a3a7fea1b4eaa9be42c43c1c65d969357c48333e0774c1a559284a3d0,3b4e0b1360d715f80a8685d16a48ac22a12c94536b40b792a276d0271fbd856f,193a33139ee24558d73b3cb76dd1281d63b894bc7d8637cb59380ea05797b29e,test,91bcdf5c370ae3bc6c7497e5365fe3ffe031a2658712c10839e468ac7586a296,128_row_window_peak200,171,11564,2780,0.7428057553956835,0.7301414581066377,0.8597053171044202,0.7896440129449838,723,496,219,1342,기록을 남기는 첫번째 버전으로써 LogisticRegression 모델 실행 test ,
2026-08-18 17:36:39,v1,xgboost_peak200_validation,XGBoost,34c117d2c849e54b59221b952e996dc9d5aa16f638bd00b781a5fe6a88aa866e,5e0996daec3e815a9ecf3c547884ab694ed5b705e164f6dbe52976ee536c148c,193a33139ee24558d73b3cb76dd1281d63b894bc7d8637cb59380ea05797b29e,validation,82719ce0824addbf737019383a76cd71bd814d19e93996e31e195fa56d22f7c7,128_row_window_peak200,171,11564,2415,0.6190476190476191,0.6208718626155878,0.7309486780715396,0.6714285714285714,555,574,346,940,XGBoost모델 학습 평가 validation ,
2026-08-18 17:46:11,v1,LogisticRegression_peak200_validation,LogisticRegression,57bb66bd307065154362e66ea0014cdeb20a296074b7d12d7d9b790486af111c,25212263a0649419bd9a3bf2d652476cfea156f3b937b4ca25e6ba11cb0ccf57,193a33139ee24558d73b3cb76dd1281d63b894bc7d8637cb59380ea05797b29e,validation,82719ce0824addbf737019383a76cd71bd814d19e93996e31e195fa56d22f7c7,128_row_window_peak200,171,11564,2415,0.7374741200828158,0.7579113924050633,0.744945567651633,0.7513725490196078,823,306,328,958,LogisticRegression모델 학습 평가 validation ,
